movie_data
"movie_name:Black Panther year:2018 runtime:134 min genre:Action, Adventure, Sci-Fi description:T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past. description:T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past. director:Ryan Coogler star:Chadwick Boseman, 
Michael B. Jordan, 
Lupita Nyong'o, 
Danai Gurira"
"movie_name:Top Gun year:1986 runtime:109 min genre:Action, Drama description:As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom. description:As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom. director:Tony Scott star:Tom Cruise, 
Tim Robbins, 
Kelly McGillis, 
Val Kilmer"
"movie_name:Avatar year:2009 runtime:162 min genre:Action, Adventure, Fantasy description:A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home. description:A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home. director:James Cameron star:Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Michelle Rodriguez"
"movie_name:The Hunger Games year:2012 runtime:142 min genre:Action, Adventure, Sci-Fi description:Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death. description:Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death. director:Gary Ross star:Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Stanley Tucci"
"movie_name:Dune year:2021 runtime:155 min genre:Action, Adventure, Drama description:A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future. description:A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future. director:Denis Villeneuve star:Timothée Chalamet, 
Rebecca Ferguson, 
Zendaya, 
Oscar Isaac"
"movie_name:The Lord of the Rings: The Fellowship of the Ring year:2001 runtime:178 min genre:Action, Adventure, Drama description:A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron. description:A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron. director:Peter Jackson star:Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean"
"movie_name:The Dark Knight year:2008 runtime:152 min genre:Action, Crime, Drama description:When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice. description:When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice. director:Christopher Nolan star:Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine"
"movie_name:Inception year:2010 runtime:148 min genre:Action, Adventure, Sci-Fi description:A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster. description:A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster. director:Christopher Nolan star:Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe"
"movie_name:Spider-Man: No Way Home year:2021 runtime:148 min genre:Action, Adventure, Fantasy description:With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man. description:With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man. director:Jon Watts star:Tom Holland, 
Zendaya, 
Benedict Cumberbatch, 
Jacob Batalon"
"movie_name:Gladiator year:2000 runtime:155 min genre:Action, Adventure, Drama description:A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery. description:A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery. director:Ridley Scott star:Russell Crowe, 
Joaquin Phoenix, 
Connie Nielsen, 
Oliver Reed"
"movie_name:Avengers: Endgame year:2019 runtime:181 min genre:Action, Adventure, Drama description:After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe. description:After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe. director:Anthony Russo, 
Joe Russo star:Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth"
"movie_name:John Wick year:2014 runtime:101 min genre:Action, Crime, Thriller description:An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took his car. description:An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took his car. director:Chad Stahelski, 
David Leitch star:Keanu Reeves, 
Michael Nyqvist, 
Alfie Allen, 
Willem Dafoe"
"movie_name:The Gentlemen year:2019 runtime:113 min genre:Action, Comedy, Crime description:An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him. description:An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him. director:Guy Ritchie star:Matthew McConaughey, 
Charlie Hunnam, 
Michelle Dockery, 
Jeremy Strong"
"movie_name:Blade Runner 2049 year:2017 runtime:164 min genre:Action, Drama, Mystery description:Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years. description:Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years. director:Denis Villeneuve star:Harrison Ford, 
Ryan Gosling, 
Ana de Armas, 
Dave Bautista"
"movie_name:F9: The Fast Saga year:2021 runtime:143 min genre:Action, Crime, Thriller description:Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother. description:Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother. director:Justin Lin star:Vin Diesel, 
Michelle Rodriguez, 
Jordana Brewster, 
Tyrese Gibson"
"movie_name:Nobody year:2021 runtime:92 min genre:Action, Crime, Drama description:A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss. description:A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss. director:Ilya Naishuller star:Bob Odenkirk, 
Aleksey Serebryakov, 
Connie Nielsen, 
Christopher Lloyd"
"movie_name:The Matrix year:1999 runtime:136 min genre:Action, Sci-Fi description:When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence. description:When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence. director:Lana Wachowski, 
Lilly Wachowski star:Keanu Reeves, 
Laurence Fishburne, 
Carrie-Anne Moss, 
Hugo Weaving"
"movie_name:Raiders of the Lost Ark year:1981 runtime:115 min genre:Action, Adventure description:In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers. description:In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers. director:Steven Spielberg star:Harrison Ford, 
Karen Allen, 
Paul Freeman, 
John Rhys-Davies"
"movie_name:Independence Day year:1996 runtime:145 min genre:Action, Adventure, Sci-Fi description:The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive. description:The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive. director:Roland Emmerich star:Will Smith, 
Bill Pullman, 
Jeff Goldblum, 
Mary McDonnell"
"movie_name:Scott Pilgrim vs. the World year:2010 runtime:112 min genre:Action, Comedy, Fantasy description:In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart. description:In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart. director:Edgar Wright star:Michael Cera, 
Mary Elizabeth Winstead, 
Kieran Culkin, 
Anna Kendrick"
"movie_name:The Fast and the Furious year:2001 runtime:106 min genre:Action, Crime, Thriller description:Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy. description:Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy. director:Rob Cohen star:Vin Diesel, 
Paul Walker, 
Michelle Rodriguez, 
Jordana Brewster"
